Date,Daily.SAIDI
2017-02-10,0.047754092
2017-02-11,0.207743823
2017-02-12,0.358382837
2017-02-13,0.20356872
2017-02-14,0.712022713
2017-02-15,0.142964828
2017-02-16,0.096962981
2017-02-17,0.059722361
2017-02-18,0.06785624
2017-02-19,0.0427245
2017-02-20,2.471109338
2017-02-21,0.231334236
2017-02-22,0.164283813
2017-02-23,0.220323213
2017-02-24,0.225612398
2017-02-25,0.048878991
2017-02-26,0.060484912
2017-02-27,0.094486042
2017-02-28,0.394812233
2017-03-01,0.092295735
2017-03-02,0.186311267
2017-03-03,0.053708482
2017-03-04,0.164537997
2017-03-05,0.305074559
2017-03-06,0.276854757
2017-03-07,0.160335853
2017-03-08,0.07911063
2017-03-09,0.127097274
2017-03-10,0.144776564
2017-03-11,0.050598787
2017-03-12,0.12769758
2017-03-13,0.096757471
2017-03-14,0.156971974
2017-03-15,0.083869815
2017-03-16,0.188955859
2017-03-17,0.204201475
2017-03-18,0.16220167
2017-03-19,0.034168783
2017-03-20,0.091468286
2017-03-21,0.136491256
2017-03-22,0.083420937
2017-03-23,0.362006307
2017-03-24,0.43925112
2017-03-25,4.470080506
2017-03-26,0.299877313
2017-03-27,0.160887486
2017-03-28,0.584638806
2017-03-29,2.734789806
2017-03-30,0.525311242
2017-03-31,0.656545762
2017-04-01,0.07451369
2017-04-02,2.682579386
2017-04-03,0.663733212
2017-04-04,0.350411202
2017-04-05,0.402708153
2017-04-06,0.269889041
2017-04-07,0.252572098
2017-04-08,0.205261475
2017-04-09,0.15616075
2017-04-10,0.153635137
2017-04-11,1.789669795
2017-04-12,0.23427087
2017-04-13,0.223265255
2017-04-14,0.122202885
2017-04-15,0.16959463
2017-04-16,0.213465661
2017-04-17,0.266730673
2017-04-18,0.350157018
2017-04-19,0.114106863
2017-04-20,0.072312567
2017-04-21,0.224644337
2017-04-22,0.071171445
2017-04-23,0.030334395
2017-04-24,0.115740128
2017-04-25,0.181892796
2017-04-26,0.797087732
2017-04-27,0.311667112
2017-04-28,0.221675254
2017-04-29,0.942561949
2017-04-30,12.6180644
2017-05-01,7.858766073
2017-05-02,1.61104353
2017-05-03,0.801825284
2017-05-04,1.472302478
2017-05-05,0.46915827
2017-05-06,0.17168759
2017-05-07,0.364045185
2017-05-08,0.072615425
2017-05-09,0.483516947
2017-05-10,0.258158732
2017-05-11,0.182401164
2017-05-12,0.620835651
2017-05-13,0.41193989
2017-05-14,0.089624102
2017-05-15,0.143824727
2017-05-16,0.200410352
2017-05-17,0.544558899
2017-05-18,0.272495776
2017-05-19,0.140201256
2017-05-20,0.909728982
2017-05-21,0.928343885
2017-05-22,0.989769817
2017-05-23,0.421085096
2017-05-24,0.635745961
2017-05-25,0.195802596
2017-05-26,0.309909458
2017-05-27,0.218235662
2017-05-28,1.667223542
2017-05-29,25.81341791
2017-05-30,10.34174092
2017-05-31,5.907311037
2017-06-01,2.819049008
2017-06-02,0.792252833
2017-06-03,0.976682059
2017-06-04,1.084066573
2017-06-05,0.805951714
2017-06-06,0.872104382
2017-06-07,0.50743185
2017-06-08,0.28736282
2017-06-09,0.90378541
2017-06-10,0.193666371
2017-06-11,0.177149836
2017-06-12,0.108017269
2017-06-13,0.547690227
2017-06-14,0.614264732
2017-06-15,0.348783345
2017-06-16,0.486010111
2017-06-17,0.186808818
2017-06-18,0.534807979
2017-06-19,0.347479977
2017-06-20,0.387878966
2017-06-21,0.416412442
2017-06-22,0.991213797
2017-06-23,0.621825346
2017-06-24,2.009479233
2017-06-25,0.491028887
2017-06-26,1.178374146
2017-06-27,0.583167786
2017-06-28,0.656583619
2017-06-29,0.225861174
2017-06-30,0.186998104
2017-07-01,2.62189978
2017-07-02,3.820754644
2017-07-03,0.420890402
2017-07-04,0.815767532
2017-07-05,0.593481155
2017-07-06,0.269434755
2017-07-07,0.606563505
2017-07-08,0.838146517
2017-07-09,0.619153712
2017-07-10,0.843981927
2017-07-11,0.37887978
2017-07-12,0.335944362
2017-07-13,0.31779997
2017-07-14,0.373774473
2017-07-15,1.33357765
2017-07-16,0.659839334
2017-07-17,0.264069856
2017-07-18,0.17042208
2017-07-19,0.261300876
2017-07-20,0.338713342
2017-07-21,1.945543912
2017-07-22,0.207992598
2017-07-23,0.350027222
2017-07-24,0.569263395
2017-07-25,0.282084452
2017-07-26,0.588397481
2017-07-27,0.31332201
2017-07-28,0.201070148
2017-07-29,0.369956309
2017-07-30,0.51565226
2017-07-31,0.507096544
2017-08-01,0.559274515
2017-08-02,0.637330553
2017-08-03,0.483927967
2017-08-04,0.393546722
2017-08-05,0.21612107
2017-08-06,0.861017645
2017-08-07,1.239713547
2017-08-08,0.621787488
2017-08-09,0.883315507
2017-08-10,0.402843357
2017-08-11,0.151136565
2017-08-12,1.022770437
2017-08-13,0.712655468
2017-08-14,0.519757057
2017-08-15,1.299468357
2017-08-16,0.401821214
2017-08-17,0.239468116
2017-08-18,0.651575658
2017-08-19,0.365110593
2017-08-20,0.15229932
2017-08-21,0.288887923
2017-08-22,0.163029119
2017-08-23,0.420744381
2017-08-24,0.869540912
2017-08-25,0.524013282
2017-08-26,7.398579948
2017-08-27,15.9847171
2017-08-28,19.07323873
2017-08-29,14.7914651
2017-08-30,32.029573
2017-08-31,29.45410231
2017-09-01,33.00116597
2017-09-02,28.72109592
2017-09-03,16.63789358
2017-09-04,9.705519044
2017-09-05,8.180735738
2017-09-06,7.9668212
2017-09-07,4.470697037
